x0000,y0000
1.687394167e+15,-7.018,
1.687394287e+15,-7.01,
1.687394407e+15,-7.02,
1.687394527e+15,-7.034,
1.687394647e+15,-7.036,
1.687394767e+15,-7.027,
1.687394887e+15,-7.027,
1.687395007e+15,-7.022,
1.687395127e+15,-7.008,
1.687395247e+15,-7.017,
1.687395367e+15,-6.991,
1.687395487e+15,-6.997,
1.687395607e+15,-7.004,
1.687395727e+15,-7,
1.687395847e+15,-6.987,
1.687395967e+15,-7.011,
1.687396087e+15,-7.017,
1.687396207e+15,-7.015,
1.687396327e+15,-7.016,
1.687396447e+15,-7.015,
1.687396567e+15,-7.016,
1.687396687e+15,-7.002,
1.687396807e+15,-7.004,
1.687396927e+15,-6.995,
1.687397047e+15,-6.996,
1.687397167e+15,-7.016,
1.687397287e+15,-7,
1.687397406e+15,-6.985,
1.687397527e+15,-7.001,
1.687397647e+15,-6.995,
1.687397767e+15,-6.983,
1.687397887e+15,-6.985,
1.687398007e+15,-6.982,
1.687398127e+15,-6.966,
1.687398247e+15,-6.973,
1.687398367e+15,-6.993,
1.687398487e+15,-7.001,
1.687398607e+15,-6.993,
1.687398727e+15,-7.009,
1.687398847e+15,-7.008,
1.687398967e+15,-7.015,
1.687399087e+15,-7.008,
1.687399206e+15,-7.018,
1.687399327e+15,-7,
1.687399447e+15,-7.006,
1.687399567e+15,-7.023,
1.687399687e+15,-7.012,
1.687399807e+15,-7.014,
1.687399927e+15,-7.022,
1.687400047e+15,-7.024,
1.687400167e+15,-7.009,
1.687400287e+15,-7.009,
1.687400407e+15,-7.02,
1.687400527e+15,-6.989,
1.687400647e+15,-6.991,
1.687400767e+15,-6.99,
1.687400887e+15,-6.995,
1.687401007e+15,-6.996,
1.687401127e+15,-6.991,
1.687401247e+15,-6.979,
1.687401367e+15,-6.981,
1.687401487e+15,-6.975,
1.687401607e+15,-6.984,
1.687401727e+15,-6.996,
1.687401847e+15,-6.975,
1.687401967e+15,-6.987,
1.687402087e+15,-6.975,
1.687402207e+15,-6.979,
1.687402327e+15,-6.98,
1.687402447e+15,-6.975,
1.687402567e+15,-7.005,
1.687402687e+15,-7,
1.687402807e+15,-7.018,
1.687402927e+15,-7.014,
1.687403047e+15,-7.012,
1.687403167e+15,-7.023,
1.687403287e+15,-7.012,
1.687403407e+15,-7.027,
1.687403527e+15,-7.024,
1.687403647e+15,-7.021,
1.687403767e+15,-7.023,
1.687403887e+15,-7.038,
1.687404007e+15,-7.017,
1.687404127e+15,-7.029,
1.687404247e+15,-7.031,
1.687404366e+15,-7.033,
1.687404487e+15,-7.024,
1.687404607e+15,-7.024,
1.687404727e+15,-7.031,
1.687404847e+15,-7.011,
1.687404966e+15,-7.012,
1.687405087e+15,-6.998,
1.687405207e+15,-7.013,
1.687405327e+15,-7.006,
1.687405447e+15,-7.013,
1.687405567e+15,-7.003,
1.687405687e+15,-7.003,
1.687405807e+15,-7.007,
1.687405927e+15,-6.97,
1.687406047e+15,-6.989,
1.687406167e+15,-6.99,
1.687406287e+15,-7.004,
1.687406407e+15,-7.003,
1.687406527e+15,-7.014,
1.687406647e+15,-7.008,
1.687406767e+15,-7.023,
1.687406887e+15,-7.012,
1.687407007e+15,-6.998,
1.687407127e+15,-6.997,
1.687407247e+15,-6.993,
1.687407367e+15,-6.992,
1.687407487e+15,-6.998,
1.687407607e+15,-6.996,
1.687407727e+15,-6.994,
1.687407847e+15,-6.976,
1.687407967e+15,-6.979,
1.687408087e+15,-6.972,
1.687408207e+15,-6.982,
1.687408327e+15,-6.983,
1.687408447e+15,-6.975,
1.687408567e+15,-6.973,
1.687408687e+15,-6.971,
1.687408807e+15,-6.963,
1.687408927e+15,-6.977,
1.687409047e+15,-6.98,
1.687409167e+15,-6.973,
1.687409287e+15,-6.978,
1.687409407e+15,-6.977,
1.687409527e+15,-7.006,
1.687409647e+15,-6.994,
1.687409767e+15,-6.994,
1.687409887e+15,-6.999,
1.687410007e+15,-7.019,
1.687410127e+15,-7.041,
1.687410247e+15,-7.045,
1.687410367e+15,-7.032,
1.687410487e+15,-7.029,
1.687410607e+15,-7.025,
1.687410727e+15,-7.04,
