x0000,y0000
1.687410127e+15,7.4,
1.687410247e+15,7.41,
1.687410367e+15,7.456,
1.687410487e+15,7.468,
1.687410607e+15,7.482,
1.687410727e+15,7.512,
1.687410847e+15,7.533,
1.687410967e+15,7.537,
1.687411087e+15,7.546,
1.687411208e+15,7.564,
1.687411328e+15,7.592,
1.687411448e+15,7.612,
1.687411568e+15,7.635,
1.687411688e+15,7.597,
1.687411808e+15,7.599,
1.687411928e+15,7.573,
1.687412048e+15,7.568,
1.687412168e+15,7.552,
1.687412288e+15,7.53,
1.687412408e+15,7.567,
1.687412528e+15,7.543,
1.687412648e+15,7.54,
1.687412768e+15,7.567,
1.687412888e+15,7.58,
1.687413008e+15,7.601,
1.687413128e+15,7.595,
1.687413248e+15,7.598,
1.687413368e+15,7.618,
1.687413488e+15,7.63,
1.687413608e+15,7.613,
1.687413728e+15,7.613,
1.687413848e+15,7.613,
1.687413968e+15,7.601,
1.687414088e+15,7.618,
1.687414208e+15,7.638,
1.687414328e+15,7.623,
1.687414448e+15,7.607,
1.687414568e+15,7.654,
1.687414688e+15,7.657,
1.687414808e+15,7.685,
1.687414928e+15,7.691,
1.687415048e+15,7.706,
1.687415168e+15,7.673,
1.687415288e+15,7.653,
1.687415408e+15,7.67,
1.687415528e+15,7.654,
1.687415648e+15,7.635,
1.687415768e+15,7.639,
1.687415888e+15,7.596,
1.687416008e+15,7.582,
1.687416128e+15,7.602,
1.687416248e+15,7.572,
1.687416368e+15,7.579,
1.687416488e+15,7.577,
1.687416608e+15,7.566,
1.687416728e+15,7.586,
1.687416848e+15,7.576,
1.687416968e+15,7.603,
1.687417088e+15,7.581,
1.687417208e+15,7.601,
1.687417328e+15,7.613,
1.687417448e+15,7.594,
1.687417568e+15,7.577,
1.687417688e+15,7.568,
1.687417808e+15,7.534,
1.687417928e+15,7.531,
1.687418048e+15,7.536,
1.687418168e+15,7.548,
1.687418288e+15,7.545,
1.687418408e+15,7.559,
1.687418528e+15,7.564,
1.687418648e+15,7.555,
1.687418768e+15,7.564,
1.687418888e+15,7.596,
1.687419008e+15,7.632,
