x0000,y0000
1.687407847e+15,7.099,
1.687407967e+15,7.093,
1.687408087e+15,7.104,
1.687408207e+15,7.134,
1.687408327e+15,7.128,
1.687408447e+15,7.094,
1.687408567e+15,7.086,
1.687408687e+15,7.083,
1.687408807e+15,7.079,
1.687408927e+15,7.054,
1.687409047e+15,7.055,
1.687409167e+15,7.097,
1.687409287e+15,7.076,
1.687409407e+15,7.081,
1.687409527e+15,7.077,
1.687409647e+15,7.05,
1.687409767e+15,7.076,
1.687409887e+15,7.088,
1.687410007e+15,7.104,
1.687410127e+15,7.11,
1.687410247e+15,7.128,
1.687410367e+15,7.167,
1.687410487e+15,7.193,
1.687410607e+15,7.234,
1.687410727e+15,7.236,
1.687410847e+15,7.26,
1.687410967e+15,7.289,
1.687411087e+15,7.311,
1.687411208e+15,7.335,
1.687411328e+15,7.418,
1.687411448e+15,7.328,
1.687411568e+15,7.341,
1.687411688e+15,7.314,
1.687411808e+15,7.3,
1.687411928e+15,7.263,
1.687412048e+15,7.264,
1.687412168e+15,7.263,
1.687412288e+15,7.285,
1.687412408e+15,7.286,
1.687412528e+15,7.294,
1.687412648e+15,7.325,
1.687412768e+15,7.326,
1.687412888e+15,7.34,
1.687413008e+15,7.327,
1.687413128e+15,7.355,
1.687413248e+15,7.334,
1.687413368e+15,7.344,
1.687413488e+15,7.321,
1.687413608e+15,7.331,
1.687413728e+15,7.334,
1.687413848e+15,7.325,
1.687413968e+15,7.347,
1.687414088e+15,7.319,
1.687414208e+15,7.324,
1.687414328e+15,7.34,
1.687414448e+15,7.335,
1.687414568e+15,7.361,
1.687414688e+15,7.391,
1.687414808e+15,7.383,
1.687414928e+15,7.375,
1.687415048e+15,7.356,
1.687415168e+15,7.357,
1.687415288e+15,7.349,
1.687415408e+15,7.349,
1.687415528e+15,7.352,
1.687415648e+15,7.359,
1.687415768e+15,7.358,
1.687415888e+15,7.338,
1.687416008e+15,7.325,
1.687416128e+15,7.33,
1.687416248e+15,7.335,
1.687416368e+15,7.335,
1.687416488e+15,7.328,
1.687416608e+15,7.332,
1.687416728e+15,7.334,
1.687416848e+15,7.384,
1.687416968e+15,7.387,
1.687417088e+15,7.331,
1.687417208e+15,7.349,
1.687417328e+15,7.363,
1.687417448e+15,7.379,
1.687417568e+15,7.337,
1.687417688e+15,7.327,
1.687417808e+15,7.335,
1.687417928e+15,7.351,
1.687418048e+15,7.347,
1.687418168e+15,7.361,
1.687418288e+15,7.356,
1.687418408e+15,7.373,
1.687418528e+15,7.372,
1.687418648e+15,7.39,
1.687418768e+15,7.382,
1.687418888e+15,7.401,
1.687419008e+15,7.447,
1.687419128e+15,7.428,
1.687419248e+15,7.38,
1.687419368e+15,7.405,
1.687419488e+15,7.368,
1.687419608e+15,7.352,
1.687419728e+15,7.337,
1.687419848e+15,7.339,
1.687419968e+15,7.44,
1.687420088e+15,7.354,
1.687420208e+15,7.405,
1.687420328e+15,7.412,
1.687420448e+15,7.409,
1.687420568e+15,7.406,
1.687420688e+15,7.424,
1.687420808e+15,7.45,
1.687420928e+15,7.471,
1.687421048e+15,7.46,
1.687421168e+15,7.336,
1.687421288e+15,7.541,
1.687421408e+15,7.562,
1.687421528e+15,7.561,
1.687421648e+15,7.55,
